state,parlimen,ballot_order,name,name_display,age,sex,ethnicity,party,votes,result,result_desc,new_mp,undi_keluar_peti,majoriti,pengundi_jumlah,peratus_keluar,population_total,ethnicity_proportion_bumi,ethnicity_proportion_chinese,ethnicity_proportion_indian,ethnicity_proportion_other
Pahang,P.085 Pekan,1,Sh Mohmed Puzi Bin Sh Ali,SH MOHMED PUZI BIN SH ALI,65.0,male,bumiputera,Barisan Nasional (BN),47418,1,won,1,94618.0,8949.0,119443,79.21602772870742,161106,96.28199825,1.447020281,0.813456501,1.457524965
Pahang,P.086 Maran,3,Ismail Bin Abd. Muttalib,DATO SRI DR HJ ISMAIL B HJ ABD MUTTALIB,68.0,male,bumiputera,Perikatan Nasional (PN),19600,1,won,0,41665.0,1821.0,53128,78.42380665562415,61932,93.54239417,4.696127845,1.324548879,0.436929111
Pahang,P.087 Kuala Krau,2,Kamal Bin Ashaari,USTAZ HAJI KAMAL BIN ASHAARI,52.0,male,bumiputera,Perikatan Nasional (PN),22505,1,won,1,48448.0,1024.0,60537,80.03039463468623,68047,97.00970112,1.377468656,1.365398832,0.247431391
Pahang,P.088 Temerloh,2,Salamiah Binti Mohd Nor,HJH SALAMIAH MOHD NOR,58.0,female,bumiputera,Perikatan Nasional (PN),30929,1,won,1,83612.0,5520.0,106829,78.26713720057288,141781,75.88739201,16.92322249,6.554000451,0.635385052
Pahang,P.089 Bentong,2,Young Syefura Binti Othman,YOUNG SYEFURA BINTI OTHMAN,33.0,female,bumiputera,Pakatan Harapan (PH),25075,1,won,1,67452.0,692.0,87058,77.47938156171747,117801,61.92606417,28.81869162,8.404460667,0.850783544
Pahang,P.090 Bera,2,Ismail Sabri Bin Yaakob,ISMAIL SABRI BIN YAAKOB,62.0,male,bumiputera,Barisan Nasional (BN),31762,1,won,0,60507.0,16695.0,77669,77.90366813014201,97963,67.42908324,27.86097366,4.192198884,0.517744208
Pahang,P.091 Rompin,3,Abdul Khalib Bin Abdullah,DATO' KHALIB,63.0,male,bumiputera,Perikatan Nasional (PN),31589,1,won,1,68233.0,1438.0,89131,76.55361209904522,100897,96.52679162,1.730100055,1.105703043,0.637405284
Selangor,P.092 Sabak Bernam,3,Kalam Bin Salan,CIKGU KALAM BIN SALAN,57.0,male,bumiputera,Perikatan Nasional (PN),17973,1,won,1,41485.0,5056.0,51609,80.3832664845279,48104,84.21019081,10.99825762,4.615188475,0.176363095
Selangor,P.093 Sungai Besar,3,Muslimin Bin Yahaya,CIKGU MUSLIMIN YAHAYA,55.0,male,bumiputera,Perikatan Nasional (PN),19791,1,won,0,51594.0,2721.0,64382,80.13730545804728,58955,70.15182513,26.28764222,3.257241305,0.303291339
Selangor,P.094 Hulu Selangor,6,Mohd Hasnizan Bin Harun,HASNIZAN HARUN,52.0,male,bumiputera,Perikatan Nasional (PN),46823,1,won,1,124084.0,1562.0,154317,80.40850975589208,239978,75.25517505,11.41892068,12.82422624,0.501678042
Selangor,P.095 Tanjong Karang,3,Zulkafperi Bin Hanapi,KAPT (B) DATO DR ZULKAFPERI,63.0,male,bumiputera,Perikatan Nasional (PN),18054,1,won,1,51872.0,2180.0,62194,83.40354375020098,59862,78.20704264,12.97402417,8.464717322,0.354215863
Selangor,P.096 Kuala Selangor,3,Dzulkefly Bin Ahmad,DS DR DZULKEFLY BIN AHMAD,66.0,male,bumiputera,Pakatan Harapan (PH),31033,1,won,0,87685.0,1002.0,102951,85.17158648288992,171266,79.77986896,7.55115046,12.34354796,0.325432621
Selangor,P.097 Selayang,5,William Leong Jee Keen,WILLIAM LEONG JEE KEEN,65.0,male,chinese,Pakatan Harapan (PH),72773,1,won,0,146369.0,23619.0,181539,80.62675237827685,363289,61.52776345,21.57903266,15.05694123,1.836262652
Selangor,P.098 Gombak,2,Amirudin Bin Shari,AMIRUDIN SHARI,42.0,male,bumiputera,Pakatan Harapan (PH),72267,1,won,1,167047.0,12729.0,206744,80.79895909917579,349207,79.61826985,10.0867625,8.389424422,1.905543229
Selangor,P.099 Ampang,1,Rodziah Binti Ismail,RODZIAH ISMAIL,58.0,female,bumiputera,Pakatan Harapan (PH),56754,1,won,1,105547.0,29681.0,133494,79.0649767030728,204469,67.07567562,24.47870178,7.338502404,1.107120197
Selangor,P.100 Pandan,1,Mohd Rafizi Bin Ramli,RAFIZI RAMLI,45.0,male,bumiputera,Pakatan Harapan (PH),74002,1,won,0,116476.0,48296.0,148730,78.3137228534929,227413,51.55721056,40.21808577,7.41033881,0.814364862
Selangor,P.101 Hulu Langat,1,Mohd Sany Bin Hamzan,YB MOHD SANY HAMZAN,45.0,male,bumiputera,Pakatan Harapan (PH),58382,1,won,1,138339.0,14896.0,166902,82.88636445339182,347569,71.71710207,19.48723176,8.351071165,0.444595008
