,state,parlimen,ballot_order,name,name_display,age,sex,ethnicity,party,votes,result,result_desc,new_mp
481,Selangor,P.109 Kapar,4,Halimah Ali,DR HALIMAH ALI,62.0,female,bumiputera,PERIKATAN NASIONAL (PN),65751,1,won,1
490,Selangor,P.110 Klang,6,Ganabatirau A/L Veraman,GANABATIRAU A/L VERAMAN,49.0,male,bumiputera,PAKATAN HARAPAN (PH),115539,1,won,1
496,Selangor,P.111 Kota Raja,5,Mohamad Bin Sabu,MOHD SABU,68.0,male,bumiputera,PAKATAN HARAPAN (PH),123306,1,won,0
503,Selangor,P.112 Kuala Langat,4,Ahmad Yunus Bin Hairi,DR AHMAD YUNUS HAIRI,57.0,male,bumiputera,PERIKATAN NASIONAL (PN),52867,1,won,1
509,Selangor,P.113 Sepang,4,Raj Munni Binti Sabu,AIMAN ATHIRAH,50.0,female,bumiputera,PAKATAN HARAPAN (PH),56264,1,won,1
517,W.P. Kuala Lumpur,P.114 Kepong,4,Lim Lip Eng,LIM LIP ENG,50.0,male,chinese,PAKATAN HARAPAN (PH),64308,1,won,0
521,W.P. Kuala Lumpur,P.115 Batu,3,Prabakaran A/L M Parameswaran,PRABAKARAN PARAMESWARAN,26.0,male,indian,PAKATAN HARAPAN (PH),45716,1,won,0
529,W.P. Kuala Lumpur,P.116 Wangsa Maju,1,Zahir Bin Hassan,ZAHIR HASSAN,63.0,male,bumiputera,PAKATAN HARAPAN (PH),46031,1,won,1
537,W.P. Kuala Lumpur,P.117 Segambut,3,Yeoh Tseow Suan,HANNAH YEOH,43.0,female,chinese,PAKATAN HARAPAN (PH),68438,1,won,0
538,W.P. Kuala Lumpur,P.118 Setiawangsa,1,Nik Nazmi Bin Nik Ahmad,NIK NAZMI NIK AHMAD,40.0,male,bumiputera,PAKATAN HARAPAN (PH),34434,1,won,0
547,W.P. Kuala Lumpur,P.119 Titiwangsa,4,Johari Bin Abdul Ghani,DATUK SERI JOHARI GHANI,58.0,male,bumiputera,BARISAN NASIONAL (BN),25042,1,won,0
549,W.P. Kuala Lumpur,P.120 Bukit Bintang,2,Fong Kui Lun,FONG KUI LUN,76.0,male,chinese,PAKATAN HARAPAN (PH),43827,1,won,0
553,W.P. Kuala Lumpur,P.121 Lembah Pantai,3,Ahmad Fahmi Bin Mohamed Fadzil,FAHMI FADZIL,41.0,male,bumiputera,PAKATAN HARAPAN (PH),35359,1,won,0
558,W.P. Kuala Lumpur,P.122 Seputeh,4,Teresa Kok Suh Sim,TERESA KOK,58.0,female,chinese,PAKATAN HARAPAN (PH),73234,1,won,0
560,W.P. Kuala Lumpur,P.123 Cheras,1,Tan Kok Wai,TAN KOK WAI,65.0,male,chinese,PAKATAN HARAPAN (PH),60294,1,won,0
563,W.P. Kuala Lumpur,P.124 Bandar Tun Razak,1,Wan Azizah Binti Wan Ismail,DATO' SERI DR WAN AZIZAH BINTI WAN ISMAIL,70.0,female,bumiputera,PAKATAN HARAPAN (PH),43476,1,won,0
570,W.P. Putrajaya,P.125 Putrajaya,5,Mohd Radzi Bin Md Jidin,DR. RADZI JIDIN (DRJ),45.0,male,bumiputera,PERIKATAN NASIONAL (PN),16002,1,won,1
573,Negeri Sembilan,P.126 Jelebu,2,Jalaluddin Bin Alias,JALALUDDIN BIN ALIAS,59.0,male,bumiputera,BARISAN NASIONAL (BN),21805,1,won,0
578,Negeri Sembilan,P.127 Jempol,3,Shamshulkahar Bin Mohd Deli,DATO' HAJI SHAMSHULKAHAR BIN HAJI MOHD DELI,61.0,male,bumiputera,BARISAN NASIONAL (BN),30138,1,won,1
